0:0000.0/=============== Logging to: Liquid.log opened ================
0:0000.2/-----------------------------
0:0000.2/--------_- RESULTS ----------
0:0000.2/With sqrt(d) and -sqrt(d) on the diagonal
0:0000.2/Measured |0000>: 0.072560
0:0000.2/Measured |1000>: 0.007790
0:0000.2/Measured |0100>: 0.653100
0:0000.2/Measured |0010>: 0.008440
0:0000.2/Measured |0001>: 0.008290
0:0000.2/Measured |1100>: 0.073010
0:0000.2/Measured |1010>: 0.000980
0:0000.2/Measured |1001>: 0.000830
0:0000.2/Measured |0110>: 0.074880
0:0000.2/Measured |0101>: 0.073620
0:0000.2/Measured |0011>: 0.000810
0:0000.2/Measured |1011>: 0.000100
0:0000.2/Measured |1110>: 0.008220
0:0000.2/Measured |1101>: 0.008190
0:0000.2/Measured |0111>: 0.008200
0:0000.2/Measured |1111>: 0.000980
0:0000.2/=============== Logging to: Liquid.log closed ================
